id,"word_name","meaning","type"
140,"astronomy","n. 天文学","Student&Professor"
141,"interdisciplinary","adj. 各个学科间的，跨领域","Student&Professor"
142,"mythology","n. 神话","Student&Professor"
143,"Jupiter","n. 木星","Student&Professor"
144,"variation","n. 变化","Student&Professor"
145,"variability","n. 可变性，变化性","Student&Professor"
146,"evolution","n. 演变，进化","Student&Professor"
147,"meteorological","adj. 气象（学）的","Student&Professor"
148,"statistical","adj. 统计（学）的","Student&Professor"
149,"introductory","adj. 引导的，介绍的；开端的","Student&Professor"
150,"archeological","adj. 考古学的","Student&Professor"
151,"erect","vt. 使竖立；建造；安装","Student&Professor"
152,"artifact","n. 人工制品；手工艺品","Student&Professor"
153,"excavation","n. 挖掘，发掘","Student&Professor"
154,"incentive","n. 动机；刺激","Student&Professor"
155,"municipal","adj. 市政的，市的；地方自治的","Student&Professor"
156,"dispute","n. 辩论；纠纷","Student&Professor"
157,"property","n. 财产；所有权","Student&Professor"
158,"prerequisite","n. 先决条件","Student&Professor"
159,"linguistics","n. 语言学","Student&Professor"
160,"dialect","n. 方言，土话；个人用语特征","Student&Professor"
161,"intrigue","vt. 用诡计取得；激起...的兴趣","Student&Professor"
162,"sociolinguistics","n. 社会语言学","Student&Professor"
163,"anthropology","n. 人类学","Student&Professor"
164,"low-key ","adj. 低调的，软调的；抑制的","Student&Professor"
165,"glory","n. 光荣，荣誉；赞颂","Student&Professor"
166,"ethnology","n. 人种学；人类文化学","Student&Professor"
167,"speciation","物种形成","Student&Professor"
168,"intermediate","adj. 中间的，中级的","Student&Professor"
169,"supplement","n. 增补，补充；补充物；增刊，副刊","Student&Professor"
170,"high-end ","adj. 高端的；高档的","Student&Professor"
171,"aerobics","n. 有氧运动法；增氧健身法","Student&Professor"
172,"academia","n. 学术界；学术生涯","Student&Professor"
173,"bacteria","细菌","Student&Professor"
174,"preliminary","adj. 初步的；开始的；预备的","Student&Professor"
175,"opaque","adj. 不透明的；不传热的；迟钝的","Student&Professor"
176,"opportunist","n. 机会主义者；投机取巧者","Student&Professor"
177,"applicant","n. 申请人，申请者；请求者","Student&Professor"
