id,"word_name","meaning","type"
1,"passive","a.被动的","Animal Behavior"
2,"enactive","a.主动的","Animal Behavior"
3,"habitat selection","n.栖息地选择","Animal Behavior"
4,"agent","n.中介","Animal Behavior"
5,"prime","a. 首要的，最好的","Animal Behavior"
6,"secondary","a.次要的，第二的","Animal Behavior"
7,"habitat","n.息地","Animal Behavior"
8,"mate","n.交配","Animal Behavior"
9,"reproduce","v.繁殖","Animal Behavior"
10,"breed","n. 品种","Animal Behavior"
11,"offspring","n.后代","Animal Behavior"
12,"organism","n.有机物，微生物","Animal Behavior"
13,"species","n.物种","Animal Behavior"
14,"survival","n.生存","Animal Behavior"
15,"insect","n.昆虫","Animal Behavior"
16,"camouflage","vt. 伪装","Animal Behavior"
17,"predator-prey","捕食者—被捕食者","Animal Behavior"
18,"lags eggs","下蛋","Animal Behavior"
19,"beach","n.海滩","Animal Behavior"
20,"fledglings","n.雏鸟","Animal Behavior"
21,"hatchling","n. 刚孵化的幼体","Animal Behavior"
22,"larva","n.幼虫","Animal Behavior"
23,"recreate","v.再建（栖息地）","Animal Behavior"
24,"shrub","灌木丛","Animal Behavior"
25,"bush","灌木丛","Animal Behavior"
26,"underneath","n.下面","Animal Behavior"
27,"higher","a.较高","Animal Behavior"
28,"lower","a.较低","Animal Behavior"
29,"population density","n.人口密度","Animal Behavior"
30,"mating ritual","求偶仪式","Animal Behavior"
31,"grooming","n. 整理（羽毛）","Animal Behavior"
32,"enemy","n. 敌人","Animal Behavior"
33,"irrelevant","a. 不切题，不相关","Animal Behavior"
34,"inappropriate","adj.不恰当.","Animal Behavior"
35,"displacement","n. 取代，换位","Animal Behavior"
36,"drive","n.驱动，驱动因素，强烈的愿望","Animal Behavior"
37,"urge","n.驱动，驱动因素，强烈的愿望","Animal Behavior"
38,"stimulus","n. 刺激","Animal Behavior"
39,"feather","n. 羽毛","Animal Behavior"
40,"horizontal","a. 水平的","Animal Behavior"
41,"vertical","a.垂直的","Animal Behavior"
42,"circumstance","n.环境","Animal Behavior"
43,"environment","n.环境","Animal Behavior"
44,"burrow","n.洞穴","Animal Behavior"
45,"microclimate","n.小气候","Animal Behavior"
46,"dehydrate","vi.脱水","Animal Behavior"
47,"cold","n.冷/热血动物","Animal Behavior"
48,"hibernation","n.冬眠","Animal Behavior"
49,"herb","n.草本植物","Animal Behavior"
50,"territorial","a.领地的","Animal Behavior"
51,"edible","a.可食的","Animal Behavior"
52,"ceremony","n.仪式，典礼","Animal Behavior"
53,"greeting","n.打招呼","Animal Behavior"
54,"the weather","n.气候","Animal Behavior"
55,"climate","n.气候","Animal Behavior"
56,"harsh","a.（气候）恶劣的","Animal Behavior"
57,"individual","n. 个体，个人","Animal Behavior"
58,"primitive","a. 远古的","Animal Behavior"
59,"cluster","n. 串，簇；群，组vi.群集，丛生","Animal Behavior"
60,"colonize","vt. 殖民","Animal Behavior"
61,"colonist","n.殖民者","Animal Behavior"
62,"flowering tree","n.会开花的树","Animal Behavior"
63,"leaf","（leaves复）n.叶子","Animal Behavior"
64,"seed","n. 种子","Animal Behavior"
65,"root","n. 根","Animal Behavior"
66,"stem","n.茎","Animal Behavior"
67,"soak up","v.吸收","Animal Behavior"
68,"germinate","vi. 发芽.","Animal Behavior"
69,"photosynthesis","n.光合作用","Animal Behavior"
70,"photolysis","n.光解作用","Animal Behavior"
71,"respiration","n.呼吸作用","Animal Behavior"
72,"evolve","v.(使)演变，进化","Animal Behavior"
73,"evolution","n.演变，进化","Animal Behavior"
74,"evolutionary","adj.进化的","Animal Behavior"
75,"mammal","n.哺乳动物","Animal Behavior"
76,"land creature","陆地生物","Animal Behavior"
77,"creature","n.生物","Animal Behavior"
78,"the missing link","n.进化缺环","Animal Behavior"
79,"skull","n. 头骨","Animal Behavior"
80,"aquatic","a. 水栖","Animal Behavior"
81,"fossil","n. 化石","Animal Behavior"
82,"Latin","n. 拉丁","Animal Behavior"
83,"four limbs","n.四肢","Animal Behavior"
84,"tail","n. 尾巴","Animal Behavior"
85,"skeletal","adj. 骨骼","Animal Behavior"
86,"descendant","n.后代","Animal Behavior"
87,"ancestry","n.祖先","Animal Behavior"
88,"ancestor","n.祖先","Animal Behavior"
89,"tooth","n.牙齿","Animal Behavior"
90,"toothless","adj. 无齿的","Animal Behavior"
91,"sperm","n. 精子","Animal Behavior"
92,"infrasound","n.次声","Animal Behavior"
93,"acoustic spectrum","n.声谱","Animal Behavior"
94,"ultrasound","n.超声波.","Animal Behavior"
95,"ultrasonic pulse","n.脉冲","Animal Behavior"
96,"high frequency sounds","n.频率","Animal Behavior"
97,"echolocation","n. 回声定位","Animal Behavior"
98,"self-explanatory","n.自我解释，不言自明","Animal Behavior"
99,"pitch","n.音调","Animal Behavior"
100,"sound waves","n. 声波","Animal Behavior"
101,"ground clutter","n.地面杂乱回波","Animal Behavior"
102,"acoustic","a. 声学，听觉的","Animal Behavior"
103,"reflection","n.反射","Animal Behavior"
104,"sophisticated radar","n. 精细的雷达","Animal Behavior"
105,"navigation","n. 航海","Animal Behavior"
106,"orientation","n.定位","Animal Behavior"
107,"vision","n. 视力","Animal Behavior"
108,"wing","n.翅膀","Animal Behavior"
109,"object","n.物体","Animal Behavior"
110,"historical relic","n.遗迹","Archaeology"
111,"excavation","n.挖掘","Archaeology"
112,"grave","n.坟墓","Archaeology"
113,"tomb","n.坟墓","Archaeology"
114,"bury","v.埋葬","Archaeology"
115,"primitive","n.原始人，adj原始的","Archaeology"
116,"the Neolithic period/age","n.新石器时代","Archaeology"
117,"New stone age","n.新石器时代","Archaeology"
118,"the Paleolithic period/age","n.旧石器时代","Archaeology"
119,"the Old/late Stone Age","n.旧石器时代","Archaeology"
120,"shelter","n.庇护所","Archaeology"
121,"inhabit","vt.居住于","Archaeology"
122,"religion","n.宗教","Archaeology"
123,"ceremony","n.仪式","Archaeology"
124,"obsidian","n.黑曜石","Archaeology"
125,"pyramid","n.金字塔","Archaeology"
127,"Native American","n. 美洲原住民，印第安人","Archaeology"
128,"the natural resources","n.自然资源","Archaeology"
129,"waterproof","防水的","Archaeology"
130,"watertight","adj.防水的","Archaeology"
131,"cooking container","n.容器","Archaeology"
132,"utensil","n.餐具，炊具","Archaeology"
133,"bowl","n.碗","Archaeology"
134,"canoe","独木舟","Archaeology"
135,"alliance","n.联盟","Archaeology"
136,"federation","n.联盟","Archaeology"
137,"film","n.电影","Art"
138,"movie","n.电影","Art"
139,"motion picture","n.电影","Art"
140,"theater","n. 电影院","Art"
141,"cinema","n.电影院","Art"
142,"standard","n.标准","Art"
143,"hybrid","n.混合；混血","Art"
144,"pioneer","n.先驱","Art"
145,"innovator","n.改革者","Art"
146,"characteristic","n.特征，特质","Art"
147,"narration","n.叙事，讲述","Art"
148,"audience","n.观众，听众，读者","Art"
149,"portray","vt.描绘，扮演","Art"
150,"photography","n.摄影","Art"
151,"high-tech","n.高科技","Art"
152,"equipment","n.设备","Art"
153,"documentary","n.纪录片","Art"
154,"documentarist","n.纪录片导演","Art"
155,"female/male student","n.女/男学生","Art"
156,"art academy","n.艺术学院","Art"
157,"editorial","n. 社论","Art"
158,"facial","adj. 面部的，表面的","Art"
159,"literacy","n. 读写能力；精通文学","Art"
160,"sarcastic","adj. 讽刺的","Art"
161,"neoclassical","adj. 新古典主义的","Art"
162,"renowned","adj. 著名的","Art"
163,"legend","n. 传说","Art"
164,"knight","n. 骑兵，骑士","Art"
165,"chivalry","n.侠气，骑士精神","Art"
166,"troubadour","n.行吟诗人","Art"
167,"studio","n.工作室；画室","Art"
168,"toeshoe","n.芭蕾舞鞋","Art"
169,"religion","n. 宗教；宗教信仰","Art"
170,"Christian Church:","n.基督教教会","Art"
171,"clergy","n.神职人员；牧师；僧侣","Art"
172,"mythology","n.神话；神话学；神话集","Art"
173,"prayer book","n.祈祷书","Art"
174,"monastery","n.修道院；僧侣","Art"
175,"authentic","adj.真正的，真实的；可信的","Art"
176,"printing press","n.印刷机","Art"
177,"accessible","adj. 易接近的；可进入的；可理解的","Art"
178,"rank","v.分等级","Art"
179,"salon","n.沙龙，美术展览馆","Art"
180,"exhibition","n.展览（会）","Art"
181,"make a name","v.出名，成名","Art"
182,"stereotype:","n.刻板印象，成见，定型行为","Art"
183,"allegory","n. 寓言","Art"
184,"painting","n.绘画作品","Art"
185,"masterpiece","n.杰作","Art"
186,"contemporary art","n.当代艺术","Art"
187,"gallery","n.画廊","Art"
188,"realistic","n.形式主义的","Art"
189,"realism","n现实主义","Art"
190,"impressionism","n.印象主义","Art"
191,"brushstroke","n.一笔，绘画技巧","Art"
192,"texture","n.质地，纹理","Art"
193,"canvas","n.画布，帆布","Art"
194,"nature scene","n.场景，景色","Art"
195,"landscape","n.风景","Art"
196,"posture","n.姿势","Art"
197,"cave art","n.洞穴壁画","Art"
198,"departure point","n.出发点，启程点","Astronomy"
199,"advanced navigational tools","n. 先进的导航设备","Astronomy"
200,"instruments","n. 先进的导航设备","Astronomy"
201,"ambient Light","n.环境光","Astronomy"
202,"ancient civilization","n.古文明","Astronomy"
203,"angle","n.角度","Astronomy"
204,"reference points","n.参照点，参考点","Astronomy"
205,"asteroid belt","n.小行星带","Astronomy"
206,"astronaut","n.宇航员","Astronomy"
207,"astronomer","n.天文学家","Astronomy"
208,"astronomical units","n.天文单位（距离）","Astronomy"
209,"atmospheric","a. 大气的","Astronomy"
210,"average depth","n.深度","Astronomy"
211,"backward","a.向后的；反向的","Astronomy"
212,"Calculations","n.计算","Astronomy"
213,"chemical element","n.化学成分","Astronomy"
214,"composition.","n.化学成分","Astronomy"
215,"comet","n.彗星","Astronomy"
216,"constellation","n.星座","Astronomy"
217,"crater","n.火山坑，坑","Astronomy"
218,"crust","n.地壳外壳","Astronomy"
219,"crystal prism","n.水晶棱镜","Astronomy"
220,"diameter","n.直径","Astronomy"
221,"dust","n.沙尘","Astronomy"
222,"Electromagnetic radiation","n.电磁辐射","Astronomy"
223,"evaporation","n.蒸发","Astronomy"
224,"fingerprint","n.指纹","Astronomy"
225,"flame reaction","n.焰色反应","Astronomy"
226,"footprint","n.脚印","Astronomy"
227,"geocentric","a.地心的 /地心论","Astronomy"
228,"gravitation","a.重力，万有引力","Astronomy"
229,"heliocentric","adj.日心的","Astronomy"
