id,"word_name","meaning","type"
749,"Cute","可爱的","physical appearance"
750,"Handsome","帅气","physical appearance"
751,"Good looking","好看的","physical appearance"
752,"Elegant","优雅的","physical appearance"
753,"Gorgeous","美丽动人的","physical appearance"
754,"Charming","有魅力的","physical appearance"
755,"Beard","胡子","physical appearance"
756,"Mustache","不胡子","physical appearance"
757,"Wearing glasses","戴眼镜","physical appearance"
758,"Contact lenses","戴隐形","physical appearance"
759,"Well-featured","五官端正的","physical appearance"
760,"Bald","秃头","physical appearance"
761,"Straight hair","直发","physical appearance"
762,"Waved hair","卷发","physical appearance"
763,"Fair hair","金发","physical appearance"
764,"Dyed hair","染发","physical appearance"
765,"a pony tail","马尾","physical appearance"
766,"Long/short plaits","长、短辫子","physical appearance"
767,"Slim","苗条","physical appearance"
768,"Plum","丰满的","physical appearance"
769,"Muscular","强壮有肌肉的","physical appearance"
770,"Aggressive","挑衅的","character"
771,"Enthusiastic","热情的","character"
772,"Polite","礼貌的","character"
773,"Amiable","和蔼可亲的","character"
774,"Generous","慷慨的","character"
775,"Punctual","守时的","character"
776,"Adaptable","适应能力强的","character"
777,"Hospitable","殷勤的，好客的","character"
778,"Reliable","可靠的","character"
779,"Humble","恭顺的","character"
780,"Responsible","负责的","character"
781,"Considerate","体贴的","character"
782,"Humorous","幽默的","character"
783,"Self-motivated","主动的","character"
784,"Creative","创造性的","character"
785,"Imaginative","有想像力的","character"
786,"Sociable","社交能力强的","character"
787,"Diligent","勤劳的","character"
788,"Intelligent","聪慧的","character"
789,"Strict","严格的","character"
790,"Easy-going","随和的","character"
791,"Knowledgeable","有学识的","character"
792,"Strong-willed","意志价格坚强的","character"
793,"Efficient","高效的","character"
794,"Loyal","忠诚的","character"
795,"Tireless","孜孜不倦的","character"
796,"Energetic","精力充沛的","character"
797,"Open-minded","思想开放的","character"
798,"Versatile","多才多艺的","character"
799,"Able","有才干的","character"
800,"energetic","精力充沛的","character"
801,"Active","主动的 活跃的","character"
802,"Enthusiastic","充满热情的","character"
803,"Adaptable","适应能力强的","character"
804,"expressive","善于表达的","character"
805,"Adroit","灵巧的机敏的","character"
806,"Faithful","守信的 忠诚的","character"
807,"Aggressive","有进取心的","character"
808,"Forceful","（性格）坚强的","character"
809,"Alert","机灵的","character"
810,"Frank","直率的 真诚的","character"
811,"Ambitious","有雄心壮志的","character"
812,"Friendly","友好的","character"
813,"Amiable","和蔼可亲的","character"
814,"Frugal","俭朴的","character"
815,"Amicable","友好的","character"
816,"Generous","宽宏大量的","character"
817,"Analytical","善于分析的","character"
818,"Genteel","有教养的","character"
819,"Apprehensive","有理解力的","character"
820,"Gentle","有礼貌的","character"
821,"Aspiring","有志气的 有抱负的","character"
822,"Hard-working","勤劳的","character"
823,"Audacious","大胆的 有冒险精神的","character"
824,"Hearty","精神饱满","character"
825,"Capable","有能力的 有才能的","character"
826,"honest","诚实的","character"
827,"Careful","办事仔细的","character"
828,"humble","恭顺的","character"
829,"Candid","正直的","character"
830,"Charitable","宽厚的","character"
831,"Competent","能胜任的","character"
832,"Confident","有信心的","character"
833,"Conscientious","认真的 自觉的","character"
834,"Considerate","体贴的","character"
835,"Constructive","建设性的","character"
836,"Contemplative","好沉思的","character"
837,"Cooperative","有合作精神的","character"
838,"Creative","富创造力的","character"
839,"Dashing","有拼搏精神的","character"
840,"Dedicated","有奉献精神的","character"
841,"Devoted","有献身精神的","character"
842,"Dependable","可靠的","character"
843,"Diplomatic","老练的 有策略的","character"
844,"Disciplined","守纪律的","character"
845,"Discreet","（在行动/说话等方面）谨慎的","character"
846,"Dutiful","尽职的","character"
847,"Dynamic","精悍的","character"
848,"Earnest","认真的","character"
